 * Serving Flask app 'main' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://176.58.120.89:5001/ (Press CTRL+C to quit)
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/shop_icon.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "GET /static/images/stepon-calltoaction.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "GET /static/images/running-shoes.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "GET /static/images/shoes-img1.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/star-icon.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "GET /static/images/shoes-img2.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "GET /static/images/shoes-img3.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/shoes-img4.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/shoes-img5.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/about-img2.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/banner.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[33mGET /js/bootstrap.bundle.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/shoes-img6.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[33mGET /js/jquery-3.0.0.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/shoes-img7.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[33mGET /js/plugin.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/shoes-img8.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/shoes-img9.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/phone-icon.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[33mGET /js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/email-icon.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/fb-icon.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/twitter-icon.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[33mGET /js/custom.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/in-icon.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/google-icon.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[36mGET /static/images/map-icon.png HTTP/1.1[0m" 304 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "[33mGET /js/owl.carousel.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 22:43:02] "GET /static/images/shop-banner.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 22:43:04] "[33mGET /static/images/fevicon.png HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET / HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/css/style.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/css/responsive.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/css/jquery.mCustomScrollbar.min.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "[33mGET /static/css/owl.theme.default.min.css HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "[33mGET /js/popper.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "[33mGET /js/bootstrap.bundle.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "[33mGET /js/jquery.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "[33mGET /js/jquery-3.0.0.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/css/animate.min.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/css/normalize.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/css/icomoon.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "[33mGET /static/css/css/font-awesome.min.css HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/css/meanmenu.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "[33mGET /static/css/swiper.min.css HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/css/slick.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/css/jquery.fancybox.min.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/css/jquery-ui.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/css/nice-select.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "[33mGET /js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "[33mGET /js/plugin.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "[33mGET /js/custom.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "[33mGET /js/owl.carousel.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/images/logo.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/images/search_icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/images/stepon-calltoaction.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:53] "GET /static/images/shop_icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/running-shoes.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/shoes-img1.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/star-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "[33mGET /js/popper.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/shoes-img2.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/banner.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/about-img2.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "[33mGET /js/bootstrap.bundle.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/shoes-img3.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/shoes-img4.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/shoes-img6.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/shoes-img5.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "[33mGET /js/jquery-3.0.0.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/shoes-img7.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/shoes-img9.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/shoes-img8.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/phone-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "[33mGET /js/plugin.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/email-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/fb-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/in-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/twitter-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/google-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/map-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET /static/images/shop-banner.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "[33mGET /js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "[33mGET /js/custom.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "GET / HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "[33mGET /js/owl.carousel.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:54] "[33mGET /static/images/fevicon.png HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:55] "GET /static/css/jquery.mCustomScrollbar.min.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:55] "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:55] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:55] "GET /static/css/style.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:55] "[33mGET /static/css/owl.theme.default.min.css HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:55] "GET /static/css/responsive.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:55] "GET /static/css/animate.min.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:55] "GET /static/css/normalize.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:55] "GET /static/css/icomoon.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:55] "[33mGET /static/css/css/font-awesome.min.css HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:55] "[33mGET /js/jquery.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:55] "GET /static/css/meanmenu.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:56] "[33mGET /static/css/swiper.min.css HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:56] "GET /static/css/jquery.fancybox.min.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:56] "GET /static/css/slick.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:56] "GET /static/css/jquery-ui.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:56] "GET /static/css/nice-select.css HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:56] "[33mGET /js/popper.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:56] "[33mGET /js/jquery-3.0.0.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:56] "[33mGET /js/plugin.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:56] "[33mGET /js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:56] "[33mGET /js/custom.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:56] "[33mGET /js/bootstrap.bundle.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:56] "[33mGET /js/owl.carousel.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:56] "GET /static/images/logo.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:57] "GET /static/images/search_icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:57] "GET /static/images/stepon-calltoaction.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:57] "GET /static/images/shop_icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:57] "GET /static/images/running-shoes.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:57] "GET /static/images/shoes-img1.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:57] "GET /static/images/star-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:57] "GET /static/images/shoes-img2.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:57] "GET /static/images/shoes-img3.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:57] "GET /static/images/shoes-img4.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:57] "GET /static/images/shoes-img5.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:57] "GET /static/images/shoes-img6.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:57] "GET /static/images/shoes-img7.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:58] "GET /static/images/shoes-img9.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:58] "GET /static/images/shoes-img8.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:58] "GET /static/images/phone-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:58] "GET /static/images/fb-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:58] "GET /static/images/email-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:58] "GET /static/images/twitter-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:58] "GET /static/images/google-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:58] "GET /static/images/in-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:58] "GET /static/images/map-icon.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:03:59] "[33mGET /js/bootstrap.bundle.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:03:59] "[33mGET /js/jquery-3.0.0.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:04:00] "[33mGET /js/plugin.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:04:00] "[33mGET /js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:04:01] "[33mGET /js/custom.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:04:01] "[33mGET /js/owl.carousel.js HTTP/1.1[0m" 404 -
172.21.0.3 - - [18/Feb/2022 23:04:02] "GET /static/images/banner.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:04:02] "GET /static/images/shop-banner.png HTTP/1.1" 200 -
172.21.0.3 - - [18/Feb/2022 23:04:02] "GET /static/images/about-img2.png HTTP/1.1" 200 -
